"unique.paste.TruncatedODdata.Node_O..TruncatedODdata.Node_D.."
"390" "11193 18025"
"391" "11087 20049"
"392" "16518 17062"
"393" "13514 10591"
"394" "12526 18223"
"395" "17625 18659"
"396" "17593 16769"
"397" "16657 1380003829"
"398" "13093 11344"
"399" "12598 16518"
"400" "11193 12930"
"401" "14687 10470"
"402" "10470 14112"
"403" "19108 15220"
"404" "11087 11601"
"405" "13093 20049"
"406" "17593 14077"
"407" "13514 15509"
"408" "11087 17269"
"409" "20657 12612"
"410" "11193 13287"
"411" "12598 14818"
"412" "13094 14993"
"413" "13093 10642"
"414" "20151 11087"
"415" "10470 13286"
"416" "17593 17295"
"417" "16657 18291"
"418" "13094 13287"
"419" "13514 20000"
"420" "13093 13854"
"421" "10334 16389"
"422" "14078 14439"
"423" "13342 17147"
"424" "16518 1380008113"
"425" "19108 19782"
"426" "16657 17439"
"427" "12640 20408"
"428" "11087 17413"
"429" "17625 18333"
"430" "18223 12828"
"431" "18684 20408"
"432" "1380016436 14274"
"433" "14078 1380006364"
"434" "16657 14109"
"435" "13093 17147"
"436" "11193 12982"
"437" "18223 13342"
"438" "1380006328 16657"
"439" "13093 19600"
"440" "16657 10511"
"441" "10470 16269"
"442" "15544 16318"
"443" "13514 21449"
"444" "15769 17625"
"445" "13514 13393"
"446" "1380016436 18344"
"447" "13273 18344"
"448" "17437 1380031197"
"449" "13514 10577"
"450" "16769 21515"
"451" "12598 12982"
"452" "19108 12437"
"453" "12598 11308"
"454" "17593 19876"
"455" "11193 20524"
"456" "10334 14242"
"457" "16472 16657"
"458" "13342 11344"
"459" "1380006364 16769"
"460" "13514 12058"
"461" "14791 16518"
"462" "12598 1380006328"
"463" "19108 21905"
"464" "16657 12041"
"465" "11193 21757"
"466" "12598 15315"
"467" "16657 14906"
"468" "10804 18223"
"469" "19108 20431"
"470" "13514 16959"
"471" "17934 18344"
"472" "13514 18823"
"473" "11087 21905"
"474" "10470 18684"
"475" "12598 18534"
"476" "16518 19600"
"477" "16769 12165"
"478" "20657 18534"
"479" "16657 21479"
"480" "13514 18147"
"481" "11193 1380003672"
"482" "16116 16769"
"483" "16657 13541"
"484" "17252 18223"
"485" "16657 19417"
"486" "11721 16518"
"487" "11087 14078"
"488" "11087 10804"
"489" "17708 13514"
"490" "16518 15045"
"491" "18223 15427"
"492" "16657 15022"
"493" "13514 1380018635"
"494" "15544 12982"
"495" "19108 18534"
"496" "21657 13094"
"497" "11087 16518"
"498" "16769 20315"
"499" "16769 11087"
"500" "1380023489 1380006364"
"501" "13342 16389"
"502" "11721 17253"
"503" "19108 14959"
"504" "10334 11863"
"505" "13514 15045"
"506" "11087 16389"
"507" "13514 16955"
"508" "19512 16657"
"509" "19476 18344"
"510" "11193 19263"
"511" "17593 12121"
"512" "15452 18223"
"513" "13213 18344"
"514" "13898 14687"
"515" "19108 21437"
"516" "16657 13063"
"517" "10470 13854"
"518" "11087 21641"
"519" "12598 12612"
"520" "16657 10813"
"521" "1380006328 14078"
"522" "11087 14151"
"523" "14078 17625"
"524" "11087 21757"
"525" "16657 17122"
"526" "14078 18223"
"527" "16518 15027"
"528" "12570 16657"
"529" "16657 18344"
"530" "10334 14161"
"531" "16657 13035"
"532" "11911 18534"
"533" "12311 17679"
"534" "10334 18534"
"535" "13342 14906"
