observations,TravelTime,startNodeID,endNodeID,interval
1,748,21217,15688,2010-02-08 14:10:00
1,1127,21221,19340,2010-04-08 15:30:00
1,200,13286,16748,2010-04-08 07:20:00
1,571,10024,21685,2010-04-08 13:25:00
2,1514,15285,14720,2010-03-08 15:10:00
1,1821,21923,11517,2010-03-08 13:05:00
3,490,14409,12432,2010-04-08 15:45:00
1,326,1380029246,12300,2010-03-08 13:15:00
1,2180,11821,17266,2010-03-08 19:15:00
9,184,15489,15489,2010-04-08 08:55:00
1,1622,1380010911,20256,2010-05-08 06:40:00
1,546,13035,12159,2010-04-08 20:05:00
1,685,13926,12159,2010-05-08 20:40:00
1,1676,12574,21222,2010-03-08 17:30:00
2,1389,21238,14617,2010-02-08 13:25:00
1,468,16143,17676,2010-02-08 21:35:00
1,540,15285,16036,2010-03-08 16:05:00
4,642,21303,10913,2010-04-08 11:40:00
1,900,13926,18648,2010-03-08 11:50:00
1,734,11458,11517,2010-05-08 10:15:00
2,182,17706,13302,2010-03-08 11:45:00
2,1566,1380009311,12432,2010-04-08 19:50:00
1,540,15170,10543,2010-05-08 15:50:00
4,822,20235,12649,2010-04-08 21:50:00
1,1559,1380002344,20273,2010-04-08 08:25:00
1,540,20381,12768,2010-03-08 13:10:00
1,541,21515,21685,2010-02-08 15:45:00
4,543,14932,1380021490,2010-03-08 03:45:00
2,182,16258,13149,2010-05-08 10:50:00
1,608,1380035951,21214,2010-03-08 19:45:00
1,2171,10241,16295,2010-05-08 18:55:00
4,1430,21238,20348,2010-03-08 14:20:00
1,270,20235,16278,2010-02-08 23:00:00
1,1153,21242,13149,2010-03-08 23:20:00
1,390,13035,15509,2010-05-08 02:00:00
1,543,20273,10579,2010-04-08 13:25:00
1,189,10813,12342,2010-04-08 12:10:00
1,219,21176,21176,2010-04-08 18:45:00
1,1086,1380009311,1380009311,2010-02-08 18:40:00
2,915,21217,17413,2010-02-08 20:20:00
2,1204,21238,19286,2010-05-08 12:10:00
2,502,14443,19030,2010-02-08 13:15:00
2,725,10493,20481,2010-05-08 12:35:00
100,1081,12728,12728,2010-02-08 19:45:00
2,1106,21238,20530,2010-03-08 06:50:00
1,871,20481,13337,2010-05-08 08:55:00
1,996,21176,16114,2010-02-08 13:10:00
2,363,13854,16295,2010-02-08 07:45:00
1,550,10026,10251,2010-04-08 11:50:00
1,360,19964,15984,2010-02-08 20:25:00
1,719,22123,12135,2010-02-08 09:15:00
2,1428,1380009311,13684,2010-02-08 14:10:00
1,302,13128,12853,2010-04-08 22:30:00
1,1015,21242,20586,2010-02-08 17:30:00
1,539,15769,20482,2010-03-08 15:25:00
1,210,14170,14170,2010-04-08 16:35:00
1,361,17122,16128,2010-05-08 18:15:00
1,1405,1380032143,19340,2010-02-08 12:05:00
1,729,15170,20235,2010-04-08 20:35:00
4,1446,21740,21740,2010-05-08 06:20:00
1,538,21462,17225,2010-03-08 06:55:00
1,543,13854,17083,2010-02-08 19:05:00
1,572,16994,15960,2010-05-08 08:30:00
7,485,10058,12308,2010-04-08 08:45:00
1,836,10813,11452,2010-04-08 00:00:00
1,364,21238,21238,2010-03-08 15:45:00
1,726,18924,11568,2010-04-08 16:10:00
1,315,21540,11555,2010-03-08 02:20:00
6,602,14443,10655,2010-03-08 00:30:00
1,181,11284,16421,2010-05-08 06:45:00
1,187,21923,13603,2010-02-08 13:30:00
3,732,1380012824,18484,2010-02-08 22:00:00
